Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-01 12-PM,BTCUSD,8973.81,8987.99,8815.91,8899.37,1239.85,11044331.84
2018-05-01 11-AM,BTCUSD,9021.13,9048.69,8965,8973.81,251.82,2270753.52
2018-05-01 10-AM,BTCUSD,9028.63,9035.98,8980,9021.13,353.95,3187489.29
2018-05-01 09-AM,BTCUSD,9035.01,9061.79,9011.62,9028.63,403.45,3646731.34
2018-05-01 08-AM,BTCUSD,8977.2,9051.48,8971.33,9035.01,417.42,3766539.73
2018-05-01 07-AM,BTCUSD,8978.59,9020.42,8959.25,8977.2,625.78,5622324.7
2018-05-01 06-AM,BTCUSD,8939.25,8980.62,8934.26,8978.59,293.1,2625807.23
2018-05-01 05-AM,BTCUSD,8977.58,8977.98,8900,8939.25,388.84,3475076.23
2018-05-01 04-AM,BTCUSD,8943.53,9000,8941.41,8977.58,454.14,4077809.62
2018-05-01 03-AM,BTCUSD,9004.66,9022.7,8920,8943.53,412.21,3694366.0
2018-05-01 02-AM,BTCUSD,8995.38,9044.58,8941.17,9004.66,693.5,6235557.04
2018-05-01 01-AM,BTCUSD,8976.14,9035.01,8865.2,8995.38,1551.44,13866160.25
2018-05-01 12-AM,BTCUSD,9242.17,9249.99,8962.6,8976.14,1729.16,15646765.19
2018-04-30 11-PM,BTCUSD,9192.75,9250,9180.01,9242.17,241.65,2228037.67
2018-04-30 10-PM,BTCUSD,9220.26,9287.89,9166.51,9192.75,630.5,5815539.07
2018-04-30 09-PM,BTCUSD,9264.76,9272.98,9205.61,9220.26,343.69,3175171.27
2018-04-30 08-PM,BTCUSD,9326.6,9331.5,9257.48,9264.76,236.83,2200832.48
2018-04-30 07-PM,BTCUSD,9332.69,9345.62,9274.13,9326.6,268.51,2498944.39
2018-04-30 06-PM,BTCUSD,9313.04,9355.42,9312.42,9332.69,217.29,2028036.27
2018-04-30 05-PM,BTCUSD,9270.01,9334.67,9270.01,9313.04,295.34,2749315.8
